#Compound                    Mass                        parameter_A              parameter_B              surface_tension   
LIMALO2                      217.239000000000            10.382044043980          5096.230672698736        0.05
C152O2                       301.355400000000            11.735996665756          5872.538226237541        0.05
HPC52PAN                     243.125700000000            10.725231178652          5591.709973170525        0.05
C142NO3                      285.336100000000            10.549789376379          5071.222689898653        0.05
C720OOH                      144.168400000000             9.810864667969          4880.068707130100        0.05
NBCKOOH                      301.335500000000            11.246041783002          5499.963636862647        0.05
C58OH                        134.130500000000             9.267234374101          4619.161649916813        0.05
BCLKBOOH                     270.321500000000            11.748038616460          6270.176815753306        0.05
C152OH                       286.363900000000            12.606647376995          6631.788114519598        0.05
C141OO                       270.321500000000            12.238448085536          6420.794758660324        0.05
LIMALOH                      202.247500000000            11.252694795812          5855.480572603133        0.05
INANCOCO2H                   238.109100000000            12.086351841665          6135.250559623627        0.05
LIMALAOH                     184.232200000000             9.282271753109          4572.448538152373        0.05
C87PAN                       261.185500000000             9.365409563164          4782.493903738890        0.05
C722OOH                      176.167200000000            11.560653903437          6050.161518203117        0.05
INDHPCHO                     195.127500000000            11.652116290108          5930.724184329569        0.05
INB1NAPAN                    301.122000000000            13.393800912055          6719.988818648488        0.05
C721OOH                      160.167800000000            10.569435674762          5266.056592581514        0.05
INCNPAN                      301.122000000000            11.948695299820          5994.132992339944        0.05
BCKAO2                       255.330000000000            10.493267432441          4980.210917637166        0.05
HIEB2O                       149.122000000000             9.753773634423          4900.238015560678        0.05
INB1OH                       181.143900000000            12.566158305002          6451.953138226250        0.05
C1212OH                      244.284200000000            13.224524802149          7321.612202722798        0.05
C59OOH                       150.129900000000            10.670651694115          5693.219034752603        0.05
C116CHO                      210.269500000000             8.892728360172          4450.979157220234        0.05
C729CO2H                     156.179100000000             9.945579338565          4833.543239317818        0.05
BCALO                        269.356600000000            11.494730184928          5795.500894741831        0.05
C57NO3PAN                    256.124400000000            12.432141210935          6372.958465354497        0.05
BCAL                         236.349900000000             9.153776269908          4566.646750135731        0.05
INB1O2                       196.135400000000            11.220399523200          5390.233001471059        0.05
C148CO                       268.131000000000            10.473144224786          5214.731572102603        0.05
INB1NBPAN                    301.122000000000            13.393800912055          6719.988818648488        0.05
C623OH                       148.157100000000            11.124630944757          5699.868323118038        0.05
BCALNO3                      315.362100000000            11.494730184928          5795.500894741831        0.05
C623O2                       163.148500000000            10.274743400511          4940.618426721945        0.05
C827OOH                      174.194400000000             9.323946566015          4590.376813569489        0.05
C133NO3                      303.308300000000            11.912758144213          5901.955347427333        0.05
C812O                        173.186400000000            10.347886780927          5033.740505364929        0.05
MMALNACO2H                   193.111600000000            11.687483748942          6030.925973418686        0.05
C625OOH                      164.156500000000            11.827733741575          6350.540122076546        0.05
C1215NO3                     289.281800000000            11.557208376247          5651.043125772091        0.05
BCAOH                        238.365700000000            10.751639622409          5353.303964386195        0.05
BCAOO                        252.349300000000             9.153776269908          4566.646750135731        0.05
INAHPAN                      256.124400000000            11.163260683850          5647.102645398599        0.05
NC4CO2H                      161.112800000000            10.403243149827          4945.036461232598        0.05
C736OOH                      158.151900000000             9.057117284747          4523.297858548404        0.05
C108OH                       200.231600000000             9.968776389824          4864.711395974098        0.05
BCLKAO                       253.314100000000             8.926710887872          4525.000869733869        0.05
MMALNAPAN                    254.108500000000            10.502452933707          5260.822176450176        0.05
C1212OOH                     260.283600000000            14.511428436692          8214.989768385596        0.05
C144O                        255.330000000000            11.139180427328          5544.588676053335        0.05
NORPINIC                     172.178500000000            11.203037994362          5746.243500448330        0.05
INDO                         180.136000000000            11.220399523200          5390.233001471059        0.05
LMLKBCO                      184.189200000000             9.222826156481          4605.560711000151        0.05
C811PAN                      247.202000000000            10.542650075306          5227.051929469541        0.05
C535OOH                      180.112800000000            10.829104024240          5776.839839465685        0.05
C147OOH                      286.320900000000            13.714232027712          7645.619489508213        0.05
C131CO2H                     254.322100000000            12.238448085536          6420.794758660324        0.05
C148OOH                      286.141600000000            11.862228746851          6254.665658295477        0.05
BCCOH                        238.365700000000            10.992905016656          5503.770721558004        0.05
C917OH                       170.205700000000             9.725958533710          4800.636499449173        0.05
C141CO3H                     268.348700000000            11.018037904039          5536.674801819399        0.05
C141OOH                      240.338600000000            10.684077601990          5331.292915715275        0.05
BCALO2                       285.356000000000            11.494730184928          5795.500894741831        0.05
INB1NACO3H                   256.124400000000            13.729414651428          6992.129505465149        0.05
C141OOA                      270.321500000000            12.238448085536          6420.794758660324        0.05
C109OOH                      200.231600000000             9.480827164837          4629.458845564795        0.05
INCCO                        179.128100000000             9.613381596896          4723.486235070955        0.05
BCALAOH                      252.349300000000            10.394957889590          5271.718758915714        0.05
C513OOH                      148.114000000000             9.911002799984          4912.903416218748        0.05
C537O2                       181.034800000000             9.484392152312          4760.650051591310        0.05
C146OOH                      270.321500000000            11.637194815691          6177.628329668468        0.05
BCALCOH                      252.349300000000            10.394957889590          5271.718758915714        0.05
C920OOH                      188.220900000000            10.277162784916          5155.428657702594        0.05
BCALOH                       270.364500000000            12.365380930859          6554.750792958948        0.05
C928CO2H                     200.231600000000            10.927092773198          5509.694346312114        0.05
INAOOH                       197.143300000000            12.769139636675          6690.629491843835        0.05
C1214O2                      243.276300000000            10.057638480878          4871.213064697256        0.05
C46CO2H                      116.115200000000            10.167987770309          5021.391696758452        0.05
C145O2                       303.328200000000            13.628883637829          7424.057693338355        0.05
C728O                        161.175700000000            10.630293173999          5191.530649958860        0.05
C812O2                       189.185800000000            10.347886780927          5033.740505364929        0.05
C139OOH                      258.310800000000            14.621314807101          8164.087181469382        0.05
