#                     time          SMEAR_TEMP_168.dat                SMEAR_RH.dat                SMEAR_CS.dat             SMEAR_PRESS.dat               SA_ground.dat                     NH3.dat               All_J.dat.csv
9.16250000000000000000e+01  3.75999999999999978684e+00  3.92999999999999971578e+01  6.27023999999999984145e-03  9.89830000000000040927e+02  3.53929850000000000000e+06  3.88026022604700004948e+00  9.99999999999999954748e-07
9.16319444444399948679e+01  3.62991686650800016167e+00  4.05599680255799981410e+01  6.24778629629599985273e-03  9.89700019184699954167e+02  3.41081125023900019005e+06  3.96235312022399988052e+00  9.99999999999999954748e-07
9.16388888888899941776e+01  3.23003996802900017471e+00  3.94099712230200012186e+01  6.22533259259299993210e-03  9.89729969624299997122e+02  3.28232400047900015488e+06  3.00192321337100009870e+00  8.46917515051051061903e-02
9.16458333333300032564e+01  3.68999040767400021679e+00  3.96599376498799998103e+01  6.20287888888899994339e-03  9.89519937649900043652e+02  3.15383675071799987927e+06  6.37060429915100012721e+00  1.07366438309199993539e-01
9.16527777777800025660e+01  3.26995843325300006299e+00  4.00500415667499964911e+01  6.22673031745999989300e-03  9.89170067146299970773e+02  2.88815416716200020164e+06  2.25525495562999989119e+00  7.85733248652633053943e-02
9.16597222222199974340e+01  3.35003517186299992758e+00  4.02099040767400026652e+01  6.25172039682499961627e-03  9.89130031974400026229e+02  2.62247158283799979836e+06  3.58855494918099982016e+00  9.99999999999999954748e-07
9.16666666666699967436e+01  3.32000479616299992713e+00  4.08299232613900002775e+01  6.27671047619000020690e-03  9.89219961630700026944e+02  2.35678899942300003022e+06  3.31444737760699981166e+00  9.99999999999999954748e-07
9.16736111111100058224e+01  3.25001918465400008174e+00  4.17499984012800027244e+01  6.38665648148200020690e-03  9.88979977617899976394e+02  2.25363145794899994507e+06  2.00000000000000000000e+00  9.99999999999999954748e-07
9.16805555555600051321e+01  3.30997442046400003335e+00  4.15598465227799991339e+01  6.50088597883599975114e-03  9.88919936051200011207e+02  2.15047391647400008515e+06  2.90218298412499997596e+00  9.99999999999999954748e-07
9.16875000000000000000e+01  3.33000000000000007105e+00  4.08200000000000002842e+01  6.61511547619000016274e-03  9.89009999999999990905e+02  2.04731637500000000000e+06  2.97324409794499988635e+00  9.99999999999999954748e-07
9.16944444444399948679e+01  3.15010231814399999095e+00  4.18906906474700022613e+01  6.56631311111099957856e-03  9.88849942446000000018e+02  1.95405858350700000301e+06  6.05150189992099996061e+00  2.20814567193184999039e-02
9.17013888888899941776e+01  3.15998880895199985019e+00  4.48099872102299983112e+01  6.50486172222199988957e-03  9.88830020783399959328e+02  1.86080079201400000602e+06  2.00000000000000000000e+00  1.87633724649091983283e-02
9.17083333333300032564e+01  3.19999520383700009063e+00  4.67401007194199991090e+01  6.44413079365100012474e-03  9.88829952038400051606e+02  1.76754300052100000903e+06  3.37224129685700013681e+00  4.59164620459331998537e-02
9.17152777777800025660e+01  3.10004156674700004359e+00  4.72800159872099996505e+01  6.39768899470900039711e-03  9.88530022382100014511e+02  1.58465254200699995272e+06  4.22462081431199987236e+00  4.01261689883404982365e-03
9.17222222222199974340e+01  3.03001918465299979744e+00  4.74900479616299975305e+01  6.35124719576699980211e-03  9.88519948840900042342e+02  1.40176208299300004728e+06  5.02119029908199987489e+00  9.99999999999999954748e-07
9.17291666666699967436e+01  3.05998561151099979227e+00  4.84498800959200011107e+01  6.30536746031699988496e-03  9.88400033573100017747e+02  1.21887162410399992950e+06  3.52062820641399998323e+00  9.99999999999999954748e-07
